net,length_um
net20,386.01µm
_0100_,317.57µm
_0722_,296.43µm
_0147_,293.87µm
net104,271.925µm
net101,259.3µm
_0733_,252.44µm
net14,247.88µm
net100,245.64µm
net15,245.355µm
_0258_,233.85µm
_0231_,233.455µm
_0204_,230.345µm
_0193_,227.48µm
net97,219.51µm
_0129_,218.53µm
_0706_,216.445µm
net52,216.05µm
net98,215.7µm
_0163_,215.04µm
net43,214.64µm
_0181_,213.96µm
_0224_,213.47µm
_0156_,212.33µm
_0130_,210.67µm
x[19],209.37µm
_0089_,209.34µm
net103,207.48µm
_0364_,204.25µm
_0192_,203.935µm
_0190_,202.58µm
_0812_,202.53µm
net42,200.56µm
x[17],186.07µm
net11,185.6µm
_0858_,182.53µm
_0098_,181.955µm
net10,181.455µm
_0234_,178.59µm
net22,174.895µm
_0226_,173.49µm
_0764_,166.18µm
y[19],166.07µm
_0097_,162.67µm
_0763_,162.235µm
x[18],161.8µm
net54,160.415µm
_0815_,154.05µm
net40,152.11µm
_0162_,149.74µm
x[20],149.37µm
net17,147.42µm
_0251_,146.33µm
net102,145.9µm
_0363_,143.73µm
_0358_,143.39µm
_0808_,143.13µm
_0154_,142.42µm
_0794_,142.06µm
_0142_,141.19µm
net16,140.71µm
net24,140.27µm
x[27],139.77µm
_0348_,139.56µm
y[20],138.77µm
net9,138.305µm
net46,138.25µm
_0139_,138.24µm
net99,137.15µm
net47,137µm
_0205_,136.03µm
_0159_,135.72µm
_0157_,135.1µm
_0164_,134.14µm
y[21],132.25µm
_0189_,128.42µm
_0135_,127.84µm
net50,127.545µm
x[22],127.25µm
_0734_,127.19µm
y[16],126.59µm
_0273_,125.97µm
_0701_,125.375µm
_0446_,125µm
net49,123.7µm
_0091_,123.5µm
_0096_,120.2µm
net45,118.9µm
_0295_,116.07µm
_0702_,114.66µm
_0207_,114.36µm
_0191_,114.31µm
_0292_,114.02µm
_0232_,113.67µm
x[28],112.85µm
net21,111.37µm
_0136_,111.33µm
_0168_,110.02µm
_0182_,109.99µm
_0146_,109.76µm
_0703_,109.34µm
net41,109.14µm
_0281_,108.76µm
net8,108.75µm
net89,108.28µm
_0814_,106.9µm
_0169_,106.77µm
_0143_,106.56µm
_0275_,106.09µm
_0237_,105.44µm
_0241_,104.76µm
_0260_,104.42µm
_0071_,104.4µm
_0101_,102µm
_0137_,100.27µm
_0707_,100.13µm
net19,99.77µm
_0918_,97.75µm
_0144_,97.51µm
_0844_,97.34µm
_0000_,97.035µm
_0167_,96.47µm
_0942_,96.2µm
_0940_,95.28µm
_0842_,93.83µm
_0356_,93.31µm
net27,92.57µm
_0093_,92.265µm
_0133_,90.775µm
_0256_,90.49µm
net56,90.29µm
_0099_,89.95µm
_0272_,89.23µm
_0336_,89.17µm
_0180_,88.95µm
_0076_,88.9µm
_0066_,88.89µm
_0946_,87.87µm
net59,86.32µm
_0184_,85.9µm
net64,85.65µm
_0697_,85.5µm
net3,85.37µm
