Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_251,VGND,li1,121.2100,125.1200,0.001662
FILLER_42_248,VGND,li1,119.8300,125.1200,0.001662
FILLER_42_235,VGND,li1,114.0800,125.1200,0.001658
FILLER_42_217,VGND,li1,105.5700,125.1200,0.001635
FILLER_42_201,VGND,li1,98.4400,125.1200,0.001598
FILLER_42_194,VGND,li1,95.2200,125.1200,0.001566
FILLER_42_182,VGND,li1,89.7000,125.1200,0.001517
FILLER_42_167,VGND,li1,82.5700,125.1200,0.001442
FILLER_42_153,VGND,li1,76.1300,125.1200,0.001354
FILLER_42_141,VGND,li1,70.6100,125.1200,0.001274
FILLER_42_117,VGND,li1,59.5700,125.1200,0.001112
FILLER_42_113,VGND,li1,57.7300,125.1200,0.001079
FILLER_42_107,VGND,li1,55.2000,125.1200,0.001040
FILLER_42_103,VGND,li1,53.1300,125.1200,0.001000
FILLER_42_91,VGND,li1,47.8400,125.1200,0.000852
FILLER_42_85,VGND,li1,44.8500,125.1200,0.000809
FILLER_42_76,VGND,li1,40.9400,125.1200,0.000705
FILLER_42_57,VGND,li1,32.2000,125.1200,0.000502
FILLER_42_41,VGND,li1,27.1400,125.1200,0.000362
FILLER_42_29,VGND,li1,21.6200,125.1200,0.000285
FILLER_42_27,VGND,li1,18.1700,125.1200,0.000285
FILLER_42_15,VGND,li1,15.1800,125.1200,0.000285
FILLER_42_3,VGND,li1,9.6600,125.1200,0.000285
FILLER_41_205,VGND,li1,100.0500,125.1200,0.001598
FILLER_41_195,VGND,li1,95.6800,125.1200,0.001566
FILLER_41_183,VGND,li1,90.1600,125.1200,0.001517
FILLER_41_172,VGND,li1,84.8700,125.1200,0.001469
FILLER_41_167,VGND,li1,82.5700,125.1200,0.001442
FILLER_41_120,VGND,li1,60.9500,125.1200,0.001144
FILLER_41_104,VGND,li1,53.5900,125.1200,0.001000
FILLER_41_74,VGND,li1,40.0200,125.1200,0.000705
FILLER_41_57,VGND,li1,32.6600,125.1200,0.000502
FILLER_41_39,VGND,li1,24.3800,125.1200,0.000285
FILLER_41_27,VGND,li1,20.7000,125.1200,0.000285
FILLER_41_15,VGND,li1,15.1800,125.1200,0.000285
FILLER_41_3,VGND,li1,9.6600,125.1200,0.000285
FILLER_40_233,VGND,li1,113.1600,119.6800,0.000940
FILLER_40_227,VGND,li1,110.4000,119.6800,0.000938
FILLER_40_178,VGND,li1,87.6300,119.6800,0.000885
FILLER_40_150,VGND,li1,74.7500,119.6800,0.000801
FILLER_40_138,VGND,li1,69.4600,119.6800,0.000759
FILLER_40_130,VGND,li1,67.1600,119.6800,0.000724
FILLER_40_118,VGND,li1,62.5600,119.6800,0.000670
FILLER_40_93,VGND,li1,49.2200,119.6800,0.000512
FILLER_40_82,VGND,li1,43.7000,119.6800,0.000461
FILLER_40_67,VGND,li1,36.5700,119.6800,0.000361
FILLER_40_63,VGND,li1,34.7300,119.6800,0.000334
FILLER_40_37,VGND,li1,23.0000,119.6800,0.000180
FILLER_40_29,VGND,li1,20.7000,119.6800,0.000181
FILLER_40_27,VGND,li1,18.1700,119.6800,0.000181
FILLER_40_15,VGND,li1,15.1800,119.6800,0.000181
FILLER_40_3,VGND,li1,9.6600,119.6800,0.000181
FILLER_39_250,VGND,li1,120.9800,119.6800,0.000942
FILLER_39_225,VGND,li1,109.4800,119.6800,0.000936
FILLER_39_223,VGND,li1,108.3300,119.6800,0.000936
FILLER_39_218,VGND,li1,106.0300,119.6800,0.000933
FILLER_39_184,VGND,li1,90.3900,119.6800,0.000892
FILLER_39_174,VGND,li1,85.7900,119.6800,0.000873
FILLER_39_156,VGND,li1,77.5100,119.6800,0.000831
FILLER_39_142,VGND,li1,71.0700,119.6800,0.000759
FILLER_39_131,VGND,li1,66.0100,119.6800,0.000724
FILLER_39_113,VGND,li1,58.4200,119.6800,0.000628
FILLER_39_109,VGND,li1,56.3500,119.6800,0.000605
FILLER_39_97,VGND,li1,52.9000,119.6800,0.000566
FILLER_39_88,VGND,li1,46.2300,119.6800,0.000488
FILLER_39_84,VGND,li1,45.0800,119.6800,0.000461
FILLER_39_54,VGND,li1,30.8200,119.6800,0.000273
FILLER_39_27,VGND,li1,18.8600,119.6800,0.000181
FILLER_39_15,VGND,li1,15.1800,119.6800,0.000181
FILLER_39_3,VGND,li1,9.6600,119.6800,0.000181
FILLER_38_250,VGND,li1,120.9800,114.2400,0.000989
FILLER_38_240,VGND,li1,116.1500,114.2400,0.000987
FILLER_38_208,VGND,li1,101.6600,114.2400,0.000961
FILLER_38_197,VGND,li1,96.3700,114.2400,0.000939
FILLER_38_175,VGND,li1,86.2500,114.2400,0.000888
FILLER_38_168,VGND,li1,83.0300,114.2400,0.000858
FILLER_38_162,VGND,li1,80.2700,114.2400,0.000838
FILLER_38_149,VGND,li1,74.7500,114.2400,0.000806
FILLER_38_141,VGND,li1,72.2200,114.2400,0.000783
FILLER_38_137,VGND,li1,69.2300,114.2400,0.000755
FILLER_38_126,VGND,li1,64.1700,114.2400,0.000706
FILLER_38_121,VGND,li1,61.4100,114.2400,0.000678
FILLER_38_109,VGND,li1,58.4200,114.2400,0.000647
FILLER_38_99,VGND,li1,51.7500,114.2400,0.000572
FILLER_38_85,VGND,li1,44.8500,114.2400,0.000472
FILLER_38_83,VGND,li1,43.9300,114.2400,0.000472
FILLER_38_77,VGND,li1,42.3200,114.2400,0.000446
FILLER_38_64,VGND,li1,36.3400,114.2400,0.000365
FILLER_38_47,VGND,li1,28.0600,114.2400,0.000236
FILLER_38_33,VGND,li1,20.9300,114.2400,0.000175
FILLER_38_27,VGND,li1,18.1700,114.2400,0.000175
FILLER_38_21,VGND,li1,16.5600,114.2400,0.000175
FILLER_38_15,VGND,li1,13.1100,114.2400,0.000176
FILLER_38_3,VGND,li1,9.6600,114.2400,0.000176
FILLER_37_250,VGND,li1,120.9800,114.2400,0.000989
FILLER_37_230,VGND,li1,111.5500,114.2400,0.000981
FILLER_37_225,VGND,li1,109.2500,114.2400,0.000976
FILLER_37_207,VGND,li1,101.2000,114.2400,0.000955
FILLER_37_181,VGND,li1,89.2400,114.2400,0.000899
FILLER_37_158,VGND,li1,78.6600,114.2400,0.000838
FILLER_37_137,VGND,li1,69.9200,114.2400,0.000755
FILLER_37_127,VGND,li1,64.4000,114.2400,0.000706
FILLER_37_110,VGND,li1,56.5800,114.2400,0.000627
FILLER_37_105,VGND,li1,54.0500,114.2400,0.000599
FILLER_37_82,VGND,li1,43.7000,114.2400,0.000446
FILLER_37_76,VGND,li1,40.7100,114.2400,0.000408
FILLER_37_54,VGND,li1,30.8200,114.2400,0.000276
FILLER_37_46,VGND,li1,28.5200,114.2400,0.000236
FILLER_37_8,VGND,li1,9.8900,114.2400,0.000176
FILLER_36_217,VGND,li1,105.5700,108.8000,0.000758
FILLER_36_197,VGND,li1,96.6000,108.8000,0.000731
FILLER_36_190,VGND,li1,93.3800,108.8000,0.000708
FILLER_36_148,VGND,li1,73.8300,108.8000,0.000614
FILLER_36_139,VGND,li1,69.6900,108.8000,0.000575
FILLER_36_133,VGND,li1,66.9300,108.8000,0.000557
FILLER_36_118,VGND,li1,60.0300,108.8000,0.000498
FILLER_36_107,VGND,li1,56.1200,108.8000,0.000476
FILLER_36_101,VGND,li1,52.2100,108.8000,0.000432
FILLER_36_97,VGND,li1,51.0600,108.8000,0.000413
FILLER_36_93,VGND,li1,48.5300,108.8000,0.000392
FILLER_36_89,VGND,li1,47.3800,108.8000,0.000392
