Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_251,VPWR,li1,121.2100,127.8400,1.798810
FILLER_42_248,VPWR,li1,119.8300,127.8400,1.798810
FILLER_42_235,VPWR,li1,114.0800,127.8400,1.798812
FILLER_42_217,VPWR,li1,105.5700,127.8400,1.798827
FILLER_42_201,VPWR,li1,98.4400,127.8400,1.798855
FILLER_42_194,VPWR,li1,95.2200,127.8400,1.798863
FILLER_42_182,VPWR,li1,89.7000,127.8400,1.798892
FILLER_42_167,VPWR,li1,82.5700,127.8400,1.798951
FILLER_42_153,VPWR,li1,76.1300,127.8400,1.799011
FILLER_42_141,VPWR,li1,70.6100,127.8400,1.799065
FILLER_42_117,VPWR,li1,59.5700,127.8400,1.799174
FILLER_42_113,VPWR,li1,57.7300,127.8400,1.799204
FILLER_42_107,VPWR,li1,55.2000,127.8400,1.799231
FILLER_42_103,VPWR,li1,53.1300,127.8400,1.799260
FILLER_42_91,VPWR,li1,47.8400,127.8400,1.799365
FILLER_42_85,VPWR,li1,44.8500,127.8400,1.799409
FILLER_42_76,VPWR,li1,40.9400,127.8400,1.799451
FILLER_42_57,VPWR,li1,32.2000,127.8400,1.799636
FILLER_42_41,VPWR,li1,27.1400,127.8400,1.799702
FILLER_42_29,VPWR,li1,21.6200,127.8400,1.799808
FILLER_42_27,VPWR,li1,18.1700,127.8400,1.799808
FILLER_42_15,VPWR,li1,15.1800,127.8400,1.799808
FILLER_42_3,VPWR,li1,9.6600,127.8400,1.799808
FILLER_41_205,VPWR,li1,100.0500,122.4000,1.798746
FILLER_41_195,VPWR,li1,95.6800,122.4000,1.798768
FILLER_41_183,VPWR,li1,90.1600,122.4000,1.798799
FILLER_41_172,VPWR,li1,84.8700,122.4000,1.798828
FILLER_41_167,VPWR,li1,82.5700,122.4000,1.798845
FILLER_41_120,VPWR,li1,60.9500,122.4000,1.799076
FILLER_41_104,VPWR,li1,53.5900,122.4000,1.799197
FILLER_41_74,VPWR,li1,40.0200,122.4000,1.799422
FILLER_41_57,VPWR,li1,32.6600,122.4000,1.799532
FILLER_41_39,VPWR,li1,24.3800,122.4000,1.799733
FILLER_41_27,VPWR,li1,20.7000,122.4000,1.799783
FILLER_41_15,VPWR,li1,15.1800,122.4000,1.799783
FILLER_41_3,VPWR,li1,9.6600,122.4000,1.799783
FILLER_40_233,VPWR,li1,113.1600,122.4000,1.798711
FILLER_40_227,VPWR,li1,110.4000,122.4000,1.798714
FILLER_40_178,VPWR,li1,87.6300,122.4000,1.798813
FILLER_40_150,VPWR,li1,74.7500,122.4000,1.798921
FILLER_40_138,VPWR,li1,69.4600,122.4000,1.798972
FILLER_40_130,VPWR,li1,67.1600,122.4000,1.799000
FILLER_40_118,VPWR,li1,62.5600,122.4000,1.799076
FILLER_40_93,VPWR,li1,49.2200,122.4000,1.799265
FILLER_40_82,VPWR,li1,43.7000,122.4000,1.799333
FILLER_40_67,VPWR,li1,36.5700,122.4000,1.799457
FILLER_40_63,VPWR,li1,34.7300,122.4000,1.799491
FILLER_40_37,VPWR,li1,23.0000,122.4000,1.799733
FILLER_40_29,VPWR,li1,20.7000,122.4000,1.799783
FILLER_40_27,VPWR,li1,18.1700,122.4000,1.799783
FILLER_40_15,VPWR,li1,15.1800,122.4000,1.799783
FILLER_40_3,VPWR,li1,9.6600,122.4000,1.799783
FILLER_39_250,VPWR,li1,120.9800,116.9600,1.799096
FILLER_39_225,VPWR,li1,109.4800,116.9600,1.799102
FILLER_39_223,VPWR,li1,108.3300,116.9600,1.799105
FILLER_39_218,VPWR,li1,106.0300,116.9600,1.799109
FILLER_39_184,VPWR,li1,90.3900,116.9600,1.799152
FILLER_39_174,VPWR,li1,85.7900,116.9600,1.799176
FILLER_39_156,VPWR,li1,77.5100,116.9600,1.799227
FILLER_39_142,VPWR,li1,71.0700,116.9600,1.799274
FILLER_39_131,VPWR,li1,66.0100,116.9600,1.799315
FILLER_39_113,VPWR,li1,58.4200,116.9600,1.799386
FILLER_39_109,VPWR,li1,56.3500,116.9600,1.799406
FILLER_39_97,VPWR,li1,52.9000,116.9600,1.799451
FILLER_39_88,VPWR,li1,46.2300,116.9600,1.799509
FILLER_39_84,VPWR,li1,45.0800,116.9600,1.799531
FILLER_39_54,VPWR,li1,30.8200,116.9600,1.799703
FILLER_39_27,VPWR,li1,18.8600,116.9600,1.799846
FILLER_39_15,VPWR,li1,15.1800,116.9600,1.799846
FILLER_39_3,VPWR,li1,9.6600,116.9600,1.799846
FILLER_38_250,VPWR,li1,120.9800,116.9600,1.799096
FILLER_38_240,VPWR,li1,116.1500,116.9600,1.799097
FILLER_38_208,VPWR,li1,101.6600,116.9600,1.799119
FILLER_38_197,VPWR,li1,96.3700,116.9600,1.799131
FILLER_38_175,VPWR,li1,86.2500,116.9600,1.799176
FILLER_38_168,VPWR,li1,83.0300,116.9600,1.799200
FILLER_38_162,VPWR,li1,80.2700,116.9600,1.799213
FILLER_38_149,VPWR,li1,74.7500,116.9600,1.799246
FILLER_38_141,VPWR,li1,72.2200,116.9600,1.799274
FILLER_38_137,VPWR,li1,69.2300,116.9600,1.799289
FILLER_38_126,VPWR,li1,64.1700,116.9600,1.799332
FILLER_38_121,VPWR,li1,61.4100,116.9600,1.799362
FILLER_38_109,VPWR,li1,58.4200,116.9600,1.799386
FILLER_38_99,VPWR,li1,51.7500,116.9600,1.799451
FILLER_38_85,VPWR,li1,44.8500,116.9600,1.799531
FILLER_38_83,VPWR,li1,43.9300,116.9600,1.799555
FILLER_38_77,VPWR,li1,42.3200,116.9600,1.799555
FILLER_38_64,VPWR,li1,36.3400,116.9600,1.799628
